,month,region,cases
251,4,Altadena,1239
252,4,Angeles National Forest,0
253,4,Angelino Heights,60
254,4,Arcadia,372
255,4,Arleta,1307
256,4,Artesia,62
257,4,Atwater Village,359
258,4,Avalon,12
259,4,Azusa,461
260,4,Baldwin Hills,1078
261,4,Baldwin Park,394
262,4,Bassett,687
263,4,Bel Air,665
264,4,Bell,881
265,4,Bell Gardens,678
266,4,Bellflower,1213
267,4,Beverly Crest,829
268,4,Beverly Hills,1827
269,4,Beverlywood,693
270,4,Boyle Heights,2610
271,4,Bradbury,5
272,4,Brentwood,1668
273,4,Brookside,0
274,4,Burbank,3061
275,4,Cadillac-Corning,218
276,4,Calabasas,650
277,4,Canoga Park,3320
278,4,Canyon Country,512
279,4,Carson,4962
280,4,Carthay,1225
281,4,Castaic,320
282,4,Central,1711
283,4,Century City,780
284,4,Century Palms/Cove,1222
285,4,Cerritos,895
286,4,Chatsworth,1354
287,4,Cheviot Hills,380
288,4,Chinatown,65
289,4,Claremont,375
290,4,Cloverdale/Cochran,511
291,4,Commerce,130
292,4,Compton,3210
293,4,Country Club Park,951
294,4,Covina,2195
295,4,Crenshaw District,756
296,4,Crestview,1291
297,4,Cudahy,963
298,4,Culver City,2043
299,4,Del Rey,1068
300,4,Diamond Bar,653
301,4,Downey,3637
302,4,Downtown,996
303,4,Duarte,911
304,4,Eagle Rock,1441
305,4,East Hollywood,1816
306,4,East Los Angeles,4618
307,4,Echo Park,346
308,4,El Monte,1758
309,4,El Segundo,621
310,4,El Sereno,1424
311,4,Elysian Park,176
312,4,Elysian Valley,295
313,4,Encino,1726
314,4,Exposition,19
315,4,Exposition Park,1940
316,4,Faircrest Heights,12
317,4,Figueroa Park Square,314
318,4,Florence-Firestone,5161
319,4,Gardena,2541
320,4,Glassell Park,1954
321,4,Glendale,8954
322,4,Glendora,798
323,4,Gramercy Place,425
324,4,Granada Hills,1839
325,4,Green Meadows,759
326,4,Hacienda Heights,964
327,4,Hancock Park,1512
328,4,Harbor City,821
329,4,Harbor Gateway,1112
330,4,Harbor Pines,0
331,4,Harvard Heights,806
332,4,Harvard Park,1459
333,4,Hawaiian Gardens,108
334,4,Hawthorne,3560
335,4,Hermosa Beach,572
336,4,Hidden Hills,0
337,4,Highland Park,1294
338,4,Historic Filipinotown,827
339,4,Hollywood,3926
340,4,Hollywood Hills,1430
341,4,Huntington Park,1952
342,4,Hyde Park,844
343,4,Industry,6
344,4,Inglewood,4788
345,4,Irwindale,12
346,4,Jefferson Park,165
347,4,Koreatown,2068
348,4,La Canada Flintridge,1049
